Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
2023-08-06,16:00 (20:45),Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,,,,,,,,,,,,,Match Report
2023-08-11,20:00 (00:45),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,29,20,3,1,2,3,0,5,4,0,0,1,0,0,Match Report
2023-08-16,22:00 (00:45),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,,,,,,,,,,,,,,,Match Report
2023-08-19,20:00 (00:45),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,27,24,1,1,1,0,0,2,2,0,0,0,0,0,Match Report
2023-08-27,14:00 (18:45),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,58,52,1,1,2,2,0,4,3,0,0,1,0,0,Match Report
2023-09-02,15:00 (19:45),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,13,9,1,1,1,1,0,9,5,1,1,1,1,0,Match Report
2023-09-16,15:00 (19:45),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,55,45,1,2,5,1,1,6,6,0,0,0,0,0,Match Report
2023-09-19,20:00 (00:45),Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,68,50,5,4,8,1,0,6,4,0,1,0,1,0,Match Report
2023-09-23,15:00 (19:45),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,14,10,1,1,0,2,0,4,4,0,0,0,0,0,Match Report
2023-09-27,20:00 (00:45),EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,,,,,,,,,,,,,,,Match Report
2023-09-30,15:00 (19:45),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,41,27,4,0,5,5,0,2,1,0,0,0,1,0,Match Report
2023-10-04,21:00 (00:45),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,33,28,0,2,2,1,0,6,6,0,0,0,0,0,Match Report
2023-10-08,16:30 (21:15),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,7,6,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-10-21,15:00 (19:45),Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,17,13,0,3,0,1,0,2,1,0,1,0,0,0,Match Report
2023-10-25,21:00 (00:45),Champions Lg,Group stage,Wed,Away,W,3,1,ch Young Boys,48,35,2,5,5,1,0,5,2,0,0,2,1,0,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
2023-10-29,15:30 (21:15),Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,40,33,1,0,2,4,0,6,3,0,0,1,2,0,Match Report
2023-11-04,15:00 (20:45),Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,40,33,2,4,1,0,0,11,9,0,1,1,0,0,Match Report
2023-11-07,20:00 (01:45),Champions Lg,Group stage,Tue,Home,W,3,0,ch Young Boys,52,42,1,5,2,2,0,6,4,0,1,0,1,0,Match Report
2023-11-12,16:30 (22:15),Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,29,21,2,2,2,2,0,7,4,1,0,1,1,0,Match Report
2023-11-25,12:30 (18:15),Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,30,18,3,5,1,2,1,2,1,0,1,0,0,0,Match Report
2023-11-28,20:00 (01:45),Champions Lg,Group stage,Tue,Home,W,3,2,de RB Leipzig,25,16,4,1,1,3,0,6,5,0,1,0,0,0,Match Report
2023-12-03,16:30 (22:15),Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,32,26,3,1,1,1,0,4,4,0,0,0,0,0,Match Report
2023-12-06,20:15 (02:00),Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
2023-12-10,14:00 (19:45),Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,30,25,0,1,2,1,1,4,3,0,1,0,0,0,Match Report
2023-12-13,18:45 (23:30),Champions Lg,Group stage,Wed,Away,W,3,2,rs Red Star,18,16,0,1,0,1,0,6,5,0,0,0,1,0,Match Report
2023-12-16,15:00 (20:45),Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,36,27,5,0,1,2,1,2,2,0,0,0,0,0,Match Report
2023-12-27,20:15 (02:00),Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,38,25,2,4,4,2,1,3,2,0,0,1,0,0,Match Report
2023-12-30,15:00 (20:45),Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,31,28,1,2,0,0,0,4,3,0,1,0,0,0,Match Report
2024-01-07,14:00 (19:45),FA Cup,Third round proper,Sun,Home,W,5,0,Huddersfield,,,,,,,,,,,,,,,Match Report
2024-01-13,17:30 (23:15),Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,47,38,1,4,1,2,1,6,4,0,2,0,0,0,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
2024-01-26,20:00 (01:45),FA Cup,Fourth round proper,Fri,Away,W,1,0,Tottenham,,,,,,,,,,,,,,,Match Report
2024-01-31,19:30 (01:15),Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,26,19,3,1,1,2,0,6,4,1,0,0,1,0,Match Report
2024-02-05,20:00 (01:45),Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,46,35,3,3,3,0,2,6,6,0,0,0,0,0,Match Report
2024-02-10,12:30 (18:15),Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,35,27,2,2,4,0,0,3,1,0,1,1,0,0,Match Report
2024-02-13,21:00 (01:45),Champions Lg,Round of 16,Tue,Away,W,3,1,dk FC Copenhagen,48,37,3,1,4,3,0,6,6,0,0,0,0,0,Match Report
2024-02-17,17:30 (23:15),Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,54,43,4,0,3,3,1,1,0,0,0,1,0,0,Match Report
2024-02-20,19:30 (01:15),Premier League,Matchweek 18,Tue,Home,W,1,0,Brentford,45,38,2,2,2,1,0,2,2,0,0,0,0,0,Match Report
2024-02-24,17:30 (23:15),Premier League,Matchweek 26,Sat,Away,W,1,0,Bournemouth,28,21,3,0,3,1,0,1,0,0,0,1,0,0,Match Report
2024-02-27,20:00 (01:45),FA Cup,Fifth round proper,Tue,Away,W,6,2,Luton Town,,,,,,,,,,,,,,,Match Report
2024-03-03,15:30 (21:15),Premier League,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,50,44,1,2,1,1,1,6,5,0,0,0,0,1,Match Report
2024-03-06,20:00 (01:45),Champions Lg,Round of 16,Wed,Home,W,3,1,dk FC Copenhagen,20,15,2,0,2,1,0,4,2,1,0,1,0,0,Match Report
2024-03-10,15:45 (21:30),Premier League,Matchweek 28,Sun,Away,D,1,1,Liverpool,19,15,1,1,0,0,2,2,1,1,0,0,0,0,Match Report
2024-03-16,17:30 (23:15),FA Cup,Quarter-finals,Sat,Home,W,2,0,Newcastle Utd,,,,,,,,,,,,,,,Match Report
2024-03-31,16:30 (21:15),Premier League,Matchweek 30,Sun,Home,D,0,0,Arsenal,24,18,3,3,0,0,0,0,0,0,0,0,0,0,Match Report
2024-04-03,20:15 (01:00),Premier League,Matchweek 31,Wed,Home,W,4,1,Aston Villa,45,35,0,4,2,2,2,6,3,0,1,0,1,1,Match Report
For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
2024-04-06,12:30 (17:15),Premier League,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,36,32,1,1,2,0,0,8,8,0,0,0,0,0,Match Report
2024-04-09,21:00 (00:45),Champions Lg,Quarter-finals,Tue,Away,D,3,3,es Real Madrid,22,18,1,0,0,3,0,6,5,0,0,0,1,0,Match Report
2024-04-13,15:00 (19:45),Premier League,Matchweek 33,Sat,Home,W,5,1,Luton Town,67,50,3,5,7,1,1,8,6,0,1,0,1,0,Match Report
2024-04-17,20:00 (00:45),Champions Lg,Quarter-finals,Wed,Home,D,1 (3),1 (4),es Real Madrid,63,54,4,2,3,0,0,2,2,0,0,0,0,0,Match Report
2024-04-20,17:15 (22:00),FA Cup,Semi-finals,Sat,Neutral,W,1,0,Chelsea,,,,,,,,,,,,,,,Match Report
2024-04-25,20:00 (00:45),Premier League,Matchweek 29,Thu,Away,W,4,0,Brighton,20,14,1,1,2,2,0,6,4,0,1,0,1,0,Match Report
2024-04-28,16:30 (21:15),Premier League,Matchweek 35,Sun,Away,W,2,0,Nott'ham Forest,20,17,1,0,0,1,1,4,3,1,0,0,0,0,Match Report
2024-05-04,17:30 (22:15),Premier League,Matchweek 36,Sat,Home,W,5,1,Wolves,35,25,1,3,2,3,1,9,7,0,0,0,2,0,Match Report
2024-05-11,12:30 (17:15),Premier League,Matchweek 37,Sat,Away,W,4,0,Fulham,30,28,0,1,0,1,0,8,6,0,1,0,1,0,Match Report
2024-05-14,20:00 (00:45),Premier League,Matchweek 34,Tue,Away,W,2,0,Tottenham,13,11,0,0,0,2,0,4,3,0,0,0,1,0,Match Report
2024-05-19,16:00 (20:45),Premier League,Matchweek 38,Sun,Home,W,3,1,West Ham,48,36,3,3,3,3,0,6,5,0,1,0,0,0,Match Report
2024-05-25,15:00 (19:45),FA Cup,Final,Sat,Neutral,L,1,2,Manchester Utd,,,,,,,,,,,,,,,Match Report
,,,,,,--,,,,1656,1302,87,86,94,70,17,222,166,6,17,13,18,2,
