Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Opp Formation,match_id,Goals,Shots,Shots on Target,SoT%,Goals per Shot,Goals per SoT,Shot Distance,Free Kicks,Penalty Goals,Penalty Attempts,Expected Goals,Non-Penalty xG,NP xG per Shot,G-xG,NP:G-xG,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,Player_xG,npxG,xAG,SCA,GCA,PassCmp,PassAttm,PassCmp%,PrgPass,Carries,PrgCarries,TakeonsAtt,TakeonsSucc,Goal_xG,Minute,Body Part,Assist,Goalkeeper,Notes
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.14,36,Left Foot,Julián Álvarez,James Trafford,None
2023-08-11,Matchweek 1,Away,W,3,0,Burnley,1.9,0.3,65,4-2-3-1,5-4-1,1,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,79,2,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.3,3,0,9,11,81.8,1,15,1,0,0,0.17,4,Left Foot,Rodri,James Trafford,Volley
2023-08-19,Matchweek 2,Home,W,1,0,Newcastle Utd,1.0,0.3,59,4-2-3-1,4-3-3,2,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0,90,0,0,0,0,4,2,0,0,22,0,1,1,0.4,0.4,0.1,2,0,6,11,54.5,1,15,3,1,0,0.0,0,None,None,None,None
2023-08-27,Matchweek 3,Away,W,2,1,Sheffield Utd,3.5,0.7,79,4-2-3-1,3-5-2,3,2,29,9,31.0,0.07,0.22,17.3,2,0,1,3.5,2.8,0.1,-1.5,-0.8,90,1,0,0,1,7,3,0,0,23,0,0,0,2.1,1.3,0.1,2,1,6,11,54.5,0,15,0,1,1,0.21,63,Head,Jack Grealish,Wes Foderingham,None
2023-09-02,Matchweek 4,Home,W,5,1,Fulham,2.2,1.4,68,4-2-3-1,4-3-3,4,5,6,4,66.7,0.67,1.0,14.8,0,1,1,2.2,1.4,0.25,2.8,2.6,90,3,1,1,1,3,2,0,0,17,0,0,0,1.6,0.8,0.7,2,1,4,6,66.7,1,9,0,1,0,0.19,90+5,Left Foot,Sergio Gómez,Bernd Leno,None
2023-09-02,Matchweek 4,Home,W,5,1,Fulham,2.2,1.4,68,4-2-3-1,4-3-3,4,5,6,4,66.7,0.67,1.0,14.8,0,1,1,2.2,1.4,0.25,2.8,2.6,90,3,1,1,1,3,2,0,0,17,0,0,0,1.6,0.8,0.7,2,1,4,6,66.7,1,9,0,1,0,0.79,70,Left Foot,None,Bernd Leno,None
2023-09-02,Matchweek 4,Home,W,5,1,Fulham,2.2,1.4,68,4-2-3-1,4-3-3,4,5,6,4,66.7,0.67,1.0,14.8,0,1,1,2.2,1.4,0.25,2.8,2.6,90,3,1,1,1,3,2,0,0,17,0,0,0,1.6,0.8,0.7,2,1,4,6,66.7,1,9,0,1,0,0.53,58,Left Foot,None,Bernd Leno,None
2023-09-16,Matchweek 5,Away,W,3,1,West Ham,3.6,0.9,68,4-2-3-1,4-2-3-1,5,3,29,13,44.8,0.1,0.23,16.4,1,0,0,3.6,3.6,0.13,-0.6,-0.6,89,1,0,0,0,9,4,0,0,22,0,0,0,2.5,2.5,0.0,2,0,9,13,69.2,0,17,0,0,0,0.08,86,Left Foot,Bernardo Silva,Alphonse Areola,None
2023-09-23,Matchweek 6,Home,W,2,0,Nott'ham Forest,1.3,1.0,57,4-2-3-1,5-4-1,6,2,7,4,57.1,0.29,0.5,17.2,2,0,0,1.3,1.3,0.19,0.7,0.7,90,1,0,0,0,2,1,0,0,24,0,0,3,0.7,0.7,0.0,2,0,9,15,60.0,0,16,0,0,0,0.14,14,Head,Matheus Nunes,Matt Turner,None
2023-09-30,Matchweek 7,Away,L,1,2,Wolves,0.9,0.4,68,4-2-3-1,3-4-3,7,1,23,8,34.8,0.04,0.13,19.3,1,0,0,0.9,0.9,0.04,0.1,0.1,90,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.1,1,0,10,12,83.3,1,3,0,2,1,0.0,0,None,None,None,None
2023-10-08,Matchweek 8,Away,L,0,1,Arsenal,0.5,0.4,51,4-3-3,4-3-3,8,0,4,0,0.0,0.0,0.0,14.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,90,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.3,2,0,11,16,68.8,1,9,1,1,1,0.0,0,None,None,None,None
2023-10-21,Matchweek 9,Home,W,2,1,Brighton,0.8,0.8,55,3-2-4-1,4-2-3-1,9,2,10,5,50.0,0.2,0.4,18.8,1,0,0,0.8,0.8,0.08,1.2,1.2,90,1,0,0,0,2,2,0,0,21,1,0,1,0.3,0.3,0.0,0,0,11,12,91.7,1,14,2,0,0,0.07,19,Left Foot,None,Jason Steele,None
2023-10-29,Matchweek 10,Away,W,3,0,Manchester Utd,4.0,0.9,60,4-2-3-1,4-2-3-1,10,3,20,9,45.0,0.1,0.22,17.2,2,1,1,4.0,3.2,0.16,-1.0,-1.2,90,2,1,1,1,4,3,0,0,20,0,0,0,2.0,1.2,1.0,1,1,7,10,70.0,1,9,0,0,0,0.29,49,Head,Bernardo Silva,André Onana,None
2023-10-29,Matchweek 10,Away,W,3,0,Manchester Utd,4.0,0.9,60,4-2-3-1,4-2-3-1,10,3,20,9,45.0,0.1,0.22,17.2,2,1,1,4.0,3.2,0.16,-1.0,-1.2,90,2,1,1,1,4,3,0,0,20,0,0,0,2.0,1.2,1.0,1,1,7,10,70.0,1,9,0,0,0,0.79,26,Left Foot,None,André Onana,None
2023-11-04,Matchweek 11,Home,W,6,1,Bournemouth,1.9,0.9,65,3-4-3,5-4-1,11,6,21,8,38.1,0.29,0.75,16.4,0,0,0,1.9,1.9,0.09,4.1,4.1,45,0,0,0,0,3,0,0,0,13,0,0,0,0.4,0.4,0.0,2,0,7,9,77.8,1,11,0,1,1,0.0,0,None,None,None,None
2023-11-12,Matchweek 12,Away,D,4,4,Chelsea,2.9,2.9,55,3-2-4-1,4-2-3-1,12,4,14,9,64.3,0.21,0.33,16.6,1,1,1,2.9,2.1,0.15,1.1,0.9,90,2,1,1,1,3,2,0,0,19,0,0,0,2.0,1.2,0.2,3,1,10,12,83.3,1,9,1,1,0,0.87,47,Other,None,Robert Sánchez,None
2023-11-12,Matchweek 12,Away,D,4,4,Chelsea,2.9,2.9,55,3-2-4-1,4-2-3-1,12,4,14,9,64.3,0.21,0.33,16.6,1,1,1,2.9,2.1,0.15,1.1,0.9,90,2,1,1,1,3,2,0,0,19,0,0,0,2.0,1.2,0.2,3,1,10,12,83.3,1,9,1,1,0,0.79,25,Left Foot,None,Robert Sánchez,None
2023-11-25,Matchweek 13,Home,D,1,1,Liverpool,1.3,0.6,59,3-2-4-1,4-3-3,13,1,16,5,31.3,0.06,0.2,16.3,1,0,0,1.3,1.3,0.08,-0.3,-0.3,90,1,0,0,0,5,2,0,0,19,2,0,0,0.7,0.7,0.0,0,0,7,10,70.0,0,8,3,0,0,0.26,27,Left Foot,Nathan Aké,Alisson,None
2023-12-03,Matchweek 14,Home,D,3,3,Tottenham,2.6,0.5,55,3-2-4-1,4-2-3-1,14,2,17,4,23.5,0.12,0.5,13.4,0,0,0,2.6,2.6,0.15,-0.6,-0.6,90,0,1,0,0,5,0,1,0,24,0,0,1,0.7,0.7,0.5,4,2,12,15,80.0,1,17,1,3,2,0.0,0,None,None,None,None
2023-12-06,Matchweek 15,Away,L,0,1,Aston Villa,0.6,2.3,54,3-2-4-1,4-4-1-1,15,0,2,2,100.0,0.0,0.0,7.4,0,0,0,0.6,0.6,0.37,-0.6,-0.6,90,0,0,0,0,2,2,0,0,15,0,0,1,0.6,0.6,0.0,1,0,7,10,70.0,0,10,1,1,0,0.0,0,None,None,None,None
2023-12-10,Matchweek 16,Away,W,2,1,Luton Town,1.6,0.3,65,4-2-3-1,3-4-3,16,2,18,6,33.3,0.11,0.33,18.7,1,0,0,1.6,1.6,0.09,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2023-12-16,Matchweek 17,Home,D,2,2,Crystal Palace,1.6,1.8,74,4-2-3-1,5-4-1,17,2,19,9,47.4,0.11,0.22,18.2,0,0,0,1.6,1.6,0.08,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2023-12-27,Matchweek 19,Away,W,3,1,Everton,2.4,1.0,72,4-2-3-1,4-2-3-1,18,3,22,8,36.4,0.09,0.25,19.5,1,1,1,2.4,1.8,0.09,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2023-12-30,Matchweek 20,Home,W,2,0,Sheffield Utd,2.2,0.3,80,4-2-3-1,3-4-3,19,2,18,4,22.2,0.11,0.5,17.4,0,0,0,2.2,2.2,0.12,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2024-01-13,Matchweek 21,Away,W,3,2,Newcastle Utd,3.0,1.3,72,4-2-3-1,4-3-3,20,3,27,11,40.7,0.11,0.27,19.3,2,0,0,3.0,3.0,0.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2024-01-31,Matchweek 22,Home,W,3,1,Burnley,1.7,1.4,74,4-2-3-1,4-4-2,21,3,14,4,28.6,0.21,0.75,15.8,1,0,0,1.7,1.7,0.13,1.3,1.3,20,0,0,0,0,2,0,0,0,8,0,0,1,0.2,0.2,0.0,1,0,3,4,75.0,0,2,1,0,0,0.0,0,None,None,None,None
2024-02-05,Matchweek 23,Away,W,3,1,Brentford,2.1,1.0,72,4-1-4-1,3-5-2,22,3,25,15,60.0,0.12,0.2,19.2,0,0,0,2.1,2.1,0.08,0.9,0.9,85,0,1,0,0,3,1,0,0,23,0,0,0,0.7,0.7,0.3,2,1,12,17,70.6,1,15,1,0,0,0.0,0,None,None,None,None
2024-02-10,Matchweek 24,Home,W,2,0,Everton,1.6,0.3,72,4-1-4-1,4-2-3-1,23,2,19,3,15.8,0.11,0.67,17.4,0,0,0,1.6,1.6,0.09,0.4,0.4,90,2,0,0,0,4,2,0,0,22,0,0,0,0.7,0.7,0.1,3,1,12,13,92.3,1,12,1,3,2,0.47,85,Left Foot,Kevin De Bruyne,Jordan Pickford,None
2024-02-10,Matchweek 24,Home,W,2,0,Everton,1.6,0.3,72,4-1-4-1,4-2-3-1,23,2,19,3,15.8,0.11,0.67,17.4,0,0,0,1.6,1.6,0.09,0.4,0.4,90,2,0,0,0,4,2,0,0,22,0,0,0,0.7,0.7,0.1,3,1,12,13,92.3,1,12,1,3,2,0.03,71,Right Foot,Nathan Aké,Jordan Pickford,Volley
2024-02-17,Matchweek 25,Home,D,1,1,Chelsea,2.6,1.4,70,4-1-4-1,4-2-3-1,24,1,31,5,16.1,0.03,0.2,15.9,1,0,0,2.6,2.6,0.09,-1.6,-1.6,90,0,0,0,0,9,2,0,0,26,1,0,0,1.6,1.6,0.1,2,0,9,12,75.0,0,7,0,0,0,0.0,0,None,None,None,None
2024-02-20,Matchweek 18,Home,W,1,0,Brentford,2.3,0.4,70,4-2-3-1,3-5-2,25,1,25,10,40.0,0.04,0.1,17.6,0,0,0,2.3,2.3,0.1,-1.3,-1.3,90,1,0,0,0,6,4,0,0,30,0,0,0,0.9,0.9,0.0,1,0,15,16,93.8,3,22,2,1,1,0.32,71,Left Foot,Julián Álvarez,Mark Flekken,None
2024-02-24,Matchweek 26,Away,W,1,0,Bournemouth,1.6,0.9,62,3-2-4-1,4-2-3-1,26,1,15,6,40.0,0.07,0.17,15.5,1,0,0,1.6,1.6,0.12,-0.6,-0.6,74,0,0,0,0,4,2,0,0,29,0,0,0,0.4,0.4,0.0,3,1,16,21,76.2,1,19,2,1,0,0.0,0,None,None,None,None
2024-03-03,Matchweek 27,Home,W,3,1,Manchester Utd,3.3,0.2,73,3-2-4-1,4-2-4-0,27,3,27,8,29.6,0.11,0.38,17.7,1,0,0,3.3,3.3,0.12,-0.3,-0.3,90,1,0,0,0,4,1,0,0,14,0,0,0,1.6,1.6,0.0,2,0,5,7,71.4,0,8,0,2,0,0.12,90+1,Left Foot,Rodri,André Onana,None
2024-03-10,Matchweek 28,Away,D,1,1,Liverpool,1.6,2.7,47,3-2-4-1,4-3-3,28,1,10,6,60.0,0.1,0.17,18.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6,90,0,0,0,0,1,1,0,0,19,1,0,0,0.1,0.1,0.1,4,0,12,15,80.0,2,11,2,3,1,0.0,0,None,None,None,None
2024-03-31,Matchweek 30,Home,D,0,0,Arsenal,1.0,0.7,72,4-1-4-1,4-3-3,29,0,12,1,8.3,0.0,0.0,14.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0,90,0,0,0,0,4,0,0,0,19,0,0,0,0.3,0.3,0.0,1,0,7,11,63.6,0,13,1,0,0,0.0,0,None,None,None,None
2024-04-03,Matchweek 31,Home,W,4,1,Aston Villa,3.4,0.8,67,4-2-3-1,4-2-3-1,30,4,25,11,44.0,0.16,0.36,15.9,2,0,0,3.4,3.4,0.14,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2024-04-06,Matchweek 32,Away,W,4,2,Crystal Palace,1.9,1.1,75,3-2-4-1,3-4-3,31,4,18,8,44.4,0.22,0.5,16.1,0,0,0,1.9,1.9,0.11,2.1,2.1,90,1,0,0,0,2,2,0,0,22,0,0,0,0.6,0.6,0.3,2,0,13,16,81.3,0,12,2,3,1,0.28,66,Left Foot,Kevin De Bruyne,Dean Henderson,None
2024-04-13,Matchweek 33,Home,W,5,1,Luton Town,4.2,0.5,73,4-2-3-1,3-4-3,32,4,36,12,33.3,0.08,0.25,16.9,0,1,1,4.2,3.4,0.1,-0.2,-0.4,80,1,0,1,1,4,1,0,0,24,0,1,0,1.8,1.0,0.1,3,0,12,15,80.0,0,11,2,0,0,0.79,76,Left Foot,None,Thomas Kaminski,None
2024-04-25,Matchweek 29,Away,W,4,0,Brighton,1.4,0.6,64,4-1-4-1,4-2-3-1,33,4,14,6,42.9,0.29,0.67,17.0,1,0,0,1.4,1.4,0.1,2.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,None,None,None,None
2024-04-28,Matchweek 35,Away,W,2,0,Nott'ham Forest,0.9,1.9,66,4-1-4-1,5-4-1,34,2,11,5,45.5,0.18,0.4,18.7,1,0,0,0.9,0.9,0.08,1.1,1.1,29,1,0,0,0,2,2,0,0,17,0,0,0,0.4,0.4,0.0,2,0,11,12,91.7,0,11,4,3,1,0.36,71,Right Foot,Kevin De Bruyne,Matz Sels,None
2024-05-04,Matchweek 36,Home,W,5,1,Wolves,3.7,0.3,58,4-2-3-1,3-5-2,35,5,18,10,55.6,0.17,0.3,15.3,0,2,2,3.7,2.1,0.12,1.3,0.9,81,4,0,2,2,6,5,0,0,27,0,0,0,2.1,0.5,0.1,1,1,10,15,66.7,2,12,2,1,0,0.09,54,Left Foot,Phil Foden,José Sá,None
2024-05-04,Matchweek 36,Home,W,5,1,Wolves,3.7,0.3,58,4-2-3-1,3-5-2,35,5,18,10,55.6,0.17,0.3,15.3,0,2,2,3.7,2.1,0.12,1.3,0.9,81,4,0,2,2,6,5,0,0,27,0,0,0,2.1,0.5,0.1,1,1,10,15,66.7,2,12,2,1,0,0.79,45+3,Left Foot,None,José Sá,None
2024-05-04,Matchweek 36,Home,W,5,1,Wolves,3.7,0.3,58,4-2-3-1,3-5-2,35,5,18,10,55.6,0.17,0.3,15.3,0,2,2,3.7,2.1,0.12,1.3,0.9,81,4,0,2,2,6,5,0,0,27,0,0,0,2.1,0.5,0.1,1,1,10,15,66.7,2,12,2,1,0,0.08,35,Head,Rodri,José Sá,None
2024-05-04,Matchweek 36,Home,W,5,1,Wolves,3.7,0.3,58,4-2-3-1,3-5-2,35,5,18,10,55.6,0.17,0.3,15.3,0,2,2,3.7,2.1,0.12,1.3,0.9,81,4,0,2,2,6,5,0,0,27,0,0,0,2.1,0.5,0.1,1,1,10,15,66.7,2,12,2,1,0,0.79,12,Left Foot,None,José Sá,None
2024-05-11,Matchweek 37,Away,W,4,0,Fulham,3.2,0.1,64,4-2-3-1,4-2-3-1,36,4,15,8,53.3,0.2,0.38,17.6,0,1,1,3.2,2.4,0.16,0.8,0.6,81,0,0,0,0,3,0,0,0,17,1,0,1,0.6,0.6,0.0,2,0,8,10,80.0,2,8,2,0,0,0.0,0,None,None,None,None
2024-05-14,Matchweek 34,Away,W,2,0,Tottenham,2.4,1.7,47,4-2-3-1,4-3-1-2,37,2,7,4,57.1,0.14,0.25,14.5,0,1,1,2.4,1.6,0.23,-0.4,-0.6,89,2,0,1,1,1,1,0,0,23,0,0,1,1.7,0.9,0.0,0,0,12,14,85.7,3,6,0,0,0,0.79,90+1,Left Foot,None,Guglielmo Vicario,None
2024-05-14,Matchweek 34,Away,W,2,0,Tottenham,2.4,1.7,47,4-2-3-1,4-3-1-2,37,2,7,4,57.1,0.14,0.25,14.5,0,1,1,2.4,1.6,0.23,-0.4,-0.6,89,2,0,1,1,1,1,0,0,23,0,0,1,1.7,0.9,0.0,0,0,12,14,85.7,3,6,0,0,0,0.93,51,Left Foot,Kevin De Bruyne,Guglielmo Vicario,None
2024-05-19,Matchweek 38,Home,W,3,1,West Ham,1.9,0.4,71,4-1-4-1,3-4-3,38,3,28,12,42.9,0.11,0.25,17.9,2,0,0,1.9,1.9,0.07,1.1,1.1,90,0,0,0,0,4,0,0,0,25,0,0,0,0.7,0.7,0.0,3,1,13,17,76.5,1,11,0,1,0,0.0,0,None,None,None,None
